soil_type,rainfall_mm,temp_high_c,temp_low_c,humidity_percent,sunlight_hours,wind_speed_kmph,temp_avg_c,recommended_crop
Red,283.6,27.5,9.2,65.3,11,12.8,18.4,Soybean
Loamy,230,31.3,10.7,79.3,5,29.3,21,Mustard
Peaty,102.2,20.9,23.2,47.4,10.1,5.4,22,Sugarcane
Alluvial,99.3,20.8,15.1,58.7,9.2,28.5,18,Barley
Red,132.6,25,10.4,74.3,5.9,19.8,17.7,Maize
Sandy,366.1,33.8,17,25.9,11.8,3.5,25.4,Soybean
Saline,228,37,9,80.1,8.6,29.2,23,Soybean
Red,298.9,31.2,6.5,31,11.3,2.4,18.8,Tur
Peaty,151.7,30.6,5.4,80.5,10.9,22.5,18,Chana
Alluvial,174.9,28,24,41.8,6.7,26.9,26,Wheat
Loamy,67.7,23.2,19.5,42.9,8.3,6.9,21.4,Maize
Peaty,85.1,22.4,21,25.2,7.5,11.6,21.7,Rice
Peaty,334.4,35.2,24.6,82,9.7,17.7,29.9,Soybean
Saline,242.2,38.6,23.6,32.2,8.7,21,31.1,Sesame
Clayey,148.3,29.2,19.7,64.1,10.3,26.4,24.4,Mustard
Alluvial,325.1,33.2,18.9,65.1,4.1,23.3,26,Wheat
Calcareous,113.7,38.3,11.7,39.7,9.5,12.2,25,Cotton
Peaty,390.9,21.8,7.1,89,6.6,25,14.4,Chana
Clayey,151,35.4,16.5,24.5,5.8,29.1,26,Mustard
Calcareous,148.2,32.3,16.5,62.6,10.4,8.4,24.4,Wheat
Alluvial,138.5,32,24,53.6,4.7,4.1,28,Wheat
Black,66.4,25.9,13.9,37.2,5.8,13.9,19.9,Sesame
Sandy,62.2,33.7,18.8,31.4,5.6,26.7,26.2,Mustard
Clayey,266.3,35.9,16.5,71.6,7.4,6.2,26.2,Rice
Laterite,352.5,22.3,8.5,84.1,6.6,26.8,15.4,Cotton
Black,320.4,30.7,16.8,27.5,9.8,29.8,23.8,Mustard
Sandy,73.6,22,15.8,33.6,9.6,3.5,18.9,Tur
Saline,227.3,37.5,14.9,89,6.6,15.9,26.2,Groundnut
Red,60.1,30.2,15.3,21.1,7.5,11.2,22.8,Sesame
Loamy,37.2,36.2,8.3,55.6,5.7,13,22.2,Sesame
Laterite,269.4,27.4,14.3,56.1,9.4,14.6,20.8,Sugarcane
Saline,223.4,22.5,17.1,38.4,7.2,22.7,19.8,Bajra
Alluvial,51.2,20.8,14.8,66.4,5.1,18.6,17.8,Tur
Saline,33.3,25.6,14.8,86.1,5,28.9,20.2,Barley
Red,396.1,24.9,6.6,51.5,6.6,11.3,15.8,Bajra
Alluvial,31.4,31.2,8.8,72.5,10,17.2,20,Barley
Laterite,188.9,20.4,11.4,65.2,4.2,24.8,15.9,Rice
Red,211.8,30.4,13.4,53.1,6.1,12.4,21.9,Groundnut
Calcareous,64.6,27.8,16.9,23.5,5.3,15,22.4,Mustard
Loamy,84.2,31.5,22.3,71.9,11.7,21.2,26.9,Maize
Laterite,153.7,34,8.2,45.4,9.6,26.1,21.1,Groundnut
Calcareous,309.4,32.7,5.3,35.7,5.9,13.6,19,Groundnut
Sandy,212.7,39.7,14,86.4,5.7,16.9,26.8,Soybean
Laterite,262.4,22.8,13.6,74.1,10.9,29.3,18.2,Rice
Sandy,394.4,28.6,16,87.4,5.5,3.2,22.3,Bajra
Alluvial,311.8,28.5,21.7,37.9,12,14.6,25.1,Tur
Calcareous,185.1,28.3,21,78.5,6.3,19.8,24.6,Mustard
Loamy,189.6,33.3,7,62.5,4.7,2.2,20.2,Wheat
Red,255.1,29.8,23.7,88.7,9.5,18.7,26.8,Sugarcane
Peaty,272.8,30.3,7.2,86.2,8.9,3.6,18.8,Sugarcane
Saline,210.3,28.6,17.7,88.1,12,26,23.2,Maize
Black,265,39.8,18.4,86.6,10.4,24.6,29.1,Cotton
Loamy,28.9,38.6,18.6,20.5,7.4,2.9,28.6,Soybean
Calcareous,183.3,26.2,10.3,71.9,9.4,3.4,18.2,Groundnut
Peaty,126,22.2,11.6,39,10.5,23.1,16.9,Wheat
Loamy,69.1,36.8,16,69.4,8.1,12.3,26.4,Rice
Calcareous,57.8,39.9,9,88.6,6.2,18.1,24.4,Groundnut
Clayey,249.2,25.9,5.4,22.8,5.7,9.6,15.6,Bajra
Clayey,219,27.2,16.2,59.7,6.4,6.8,21.7,Rice
Sandy,116.4,38.8,14.3,71.4,10.8,10.3,26.6,Groundnut
Loamy,199,34.2,18.1,37.7,7,8.9,26.2,Maize
Clayey,207,25.9,7.9,35.8,6.3,14.6,16.9,Groundnut
Calcareous,94.1,31.6,21.8,24.2,10.4,22.9,26.7,Maize
Sandy,267.8,38.9,7.9,26.6,4.3,17.5,23.4,Groundnut
Calcareous,316.7,36.2,22.8,66,8.8,19.1,29.5,Bajra
Sandy,320.8,34.8,14,55.4,11,15.2,24.4,Bajra
